City served / location;ICAO;Airport name;Usage
Istres / Le Tubé;LFMI;Istres-Le Tubé Air Base (BA 125);Public/mil.
Itxassou;LFIX;Itxassou Aerodrome;Restricted
Joigny;LFGK;Joigny Airport;Public
Joinville / Val-d'Ornain;LFFJ;Joinville - Mussey Aerodrome;Restricted
Jonzac / Neulles;LFCJ;Jonzac - Neulles Airport;Public
Juan-les-Pins;;Juan-les-Pins Heliport;
Juvancourt;LFQX;Juvancourt Aerodrome;Restricted
La Baule-Escoublac;LFRE;La Baule - Pornichet - Le Pouliguen Airport (UAF);Public
La Défense;;Paris - La Défense Heliport;
La Ferté-Alais;LFFQ;La Ferté-Alais Aerodrome;Restricted
La Ferté-Gaucher;LFFG;La Ferté-Gaucher Aerodrome;Restricted
La Flèche / Thorée-les-Pins;LFAL;La Flèche - Thorée-les-Pins Aerodrome;Restricted
La Grand-Combe;LFTN;La Grand-Combe Aerodrome;Restricted
La Motte-Chalancon;LFJE;La Motte-Chalancon Aerodrome;Restricted
La Réole / Floudès;LFDR;La Réole - Floudès Airport;Public
La Rochelle / Île de Ré;LFBH;La Rochelle – Île de Ré Airport;Public
La Roche-sur-Yon / Les Ajoncs;LFRI;La Roche-sur-Yon Aerodrome (UAF);Public
La Tour-du-Pin / Cessieu;LFKP;La Tour-du-Pin - Cessieu Aerodrome;Restricted
L'Aigle / Saint-Michel-Tubœuf;LFOL;L'Aigle - Saint-Michel Airport;Public
Lamotte-Beuvron;LFFM;Lamotte-Beuvron Aerodrome;Restricted
Landivisiau;LFRJ;Landivisiau Air Base;Military
Langogne / Lespéron;LFHL;Langogne - Lespéron Airport;Public
Langres / Rolampont;LFSU;Langres - Rolampont Airport;Public
Lannion;LFRO;Lannion – Côte de Granit Airport;Public
Lanvéoc / Poulmic;LFRL;Lanvéoc - Poulmic Air Base;Military
Laon / Chambry;LFAF;Laon - Chambry Airport;Public
Lapalisse / Périgny;LFHX;Lapalisse - Périgny Airport;Public
Laval / Entrammes;LFOV;Laval - Entrammes Airport (UAF);Public
Le Blanc;LFEL;Le Blanc Airport;Public
Le Castellet;LFMQ;Le Castellet Airport;Private
Le Havre / Octeville-sur-Mer;LFOH;Le Havre – Octeville Airport;Public
Le Havre / Saint-Romain-de-Colbosc;LFOY;Le Havre - Saint-Romain Airport;Public
Le Luc / Le Cannet;LFMC;Le Luc – Le Cannet Airport;Public
Le Mans / Arnage;LFRM;Le Mans - Arnage Aerodrome (UAF);Public
Le Mazet-de-Romanin;LFNZ;Le Mazet-de-Romanin Aerodrome (UAF);Restricted
Le Plessis-Belleville;LFPP;Plessis-Belleville Airport;Public
Le Puy-en-Velay / Loudes;LFHP;Le Puy – Loudes Airport;Public
Le Touquet;LFAT;Le Touquet – Côte d'Opale Airport;Public
Lens / Bénifontaine;LFQL;Lens - Bénifontaine Airport;Public
Les Mureaux;LFXU;Les Mureaux Airport;Public
Les Sables-d'Olonne / Talmont-Saint-Hilaire;LFOO;Les Sables-d'Olonne - Talmont Airport;Public
Lesparre-Médoc / Saint-Laurent-Médoc;LFDU;Lesparre - Saint-Laurent-de-Médoc Airport;Public
Lessay;LFOM;Lessay Airport;Public
Lézignan-Corbières;LFMZ;Lézignan-Corbières Airport;Public
Libourne / Les Artigues-de-Lussac;LFDI;Libourne - Artigues-de-Lussac Airport;Public
Lille / Lesquin;LFQQ;Lille Airport;Public
Lille / Marcq-en-Barœul;LFQO;Lille - Marcq-en-Baroeul Airport;Public
Limoges / Bellegarde;LFBL;Limoges – Bellegarde Airport;Public
Lognes / Émerainville;LFPL;Lognes – Émerainville aerodrome (UAF);Public
Longuyon / Villette;LFGS;Longuyon - Villette Airport;Public
Lons-le-Saunier / Courlaoux;LFGL;Lons-le-Saunier - Courlaoux Airport;Public
Lorient / Lann / Bihoué;LFRH;Lorient South Brittany Airport;Government
Loudun;LFDL;Loudun Airport;Public
Lunéville / Croismare;LFQC;Lunéville-Croismare Airport;Public
Lurcy-Lévis;LFJU;Lurcy-Lévis Aerodrome;Restricted
Lure / Malbouhans;LFYL;Lure - Malbouhans Airport;
Luxeuil-les-Bains / Saint-Sauveur;LFSX;Luxeuil - Saint-Sauveur Air Base (BA 116);Military
Lyon / Brindas;LFKL;Lyon - Brindas Aerodrome;Restricted
Lyon / Bron;LFLY;Lyon–Bron Airport;Public
Lyon / Colombier-Saugnieu;LFLL;Lyon–Saint-Exupéry Airport;Public
Lyon / Corbas;LFHJ;Lyon - Corbas Aerodrome;Restricted
Mâcon / Charnay-lès-Mâcon;LFLM;Mâcon - Charnay Airport (UAF);Public
Mantes-la-Jolie / Chérence;LFFC;Mantes - Chérence Aerodrome;Restricted
Marennes;LFJI;Marennes Aerodrome;Restricted
Marigny / Le Grand;LFYM;Marigny - Le Grand Airport;
Marmande / Virazeil;LFDM;Marmande – Virazeil Airport;Public
Marseille / Marignane;LFML;Marseille Provence Airport;Public
Maubeuge / Élesmes;LFQJ;Maubeuge Aerodrome (UAF);Public
Mauléon;LFJB;Mauléon Airport;Public
Meaux / Esbly;LFPE;Meaux - Esbly Aerodrome (UAF);Public
Megève;LFHM;Megève Altiport;Restricted
Melun;LFPM;Melun Villaroche Aerodrome;Public
Mende / Brenoux;LFNB;Mende - Brenoux Airport;Public
Méribel;LFKX;Méribel Altiport;Restricted
Merville / Calonne-sur-la-Lys;LFQT;Merville–Calonne Airport;Public
Metz / Frescaty;LFSF;Metz-Frescaty Air Base (BA 128);Military
Metz / Nancy;LFJL;Metz–Nancy–Lorraine Airport;Public
Millau / Larzac;LFCM;Millau - Larzac Airport;Public
Mimizan;LFCZ;Mimizan Airport;Public
Montagne Noire / Revel;LFMG;Montagne Noire Aerodrome;Restricted
Montaigu / Saint-Georges-de-Montaigu;LFFW;Montaigu - Saint-Georges Airport;Public
Montargis / Vimory;LFEM;Montargis - Vimory Airport (UAF);Public
Montauban;LFDB;Montauban Airport;Public
Montbéliard / Courcelles-lès-Montbéliard;LFSM;Montbéliard – Courcelles Aerodrome;Public
Montceau-les-Mines / Pouilloux;LFGM;Montceau-les-Mines - Pouilloux Airport;Public
Mont-Dauphin / Saint-Crépin;LFNC;Mont-Dauphin - Saint-Crépin Airport;Public
Mont-de-Marsan;LFBM;Mont-de-Marsan Air Base (BA 118);Military
Montdidier;LFAR;Montdidier Aerodrome;Restricted
Montélimar / Ancône;LFLQ;Montélimar - Ancône Airport;Public
Montendre / Marcillac;LFDC;Montendre - Marcillac Airport;Public
Mont-Louis / La Quillane;LFNQ;Mont-Louis - La Quillane Aerodrome;Restricted
Montluçon / Domérat;LFLT;Montluçon - Domérat Aerodrome;Restricted
Montluçon / Guéret;LFBK;Montluçon – Guéret Airport;Public
Montmédy / Marville;LFYK;Montmédy - Marville Airport;
Montpellier / Candillargues;LFNG;Montpellier - Candillargues Airport;Public
Montpellier / Mauguio;LFMT;Montpellier–Méditerranée Airport;Public
Morestel;LFHI;Morestel Aerodrome;Public
Moret-sur-Loing / Épisy;LFPU;Moret - Episy Aerodrome;Public
Morlaix / Ploujean;LFRU;Morlaix – Ploujean Airport;Public
Mortagne-au-Perche;LFAX;Mortagne Aerodrome (UAF);Public
Moulins / Montbeugny;LFHY;Moulins – Montbeugny Airport;Public
Mourmelon-le-Grand;LFXM;Mourmelon Aerodrome;
Moussoulens;;Moussoulens Air Base;Military
Mulhouse;LFSB;EuroAirport Basel Mulhouse Freiburg;Public
Mulhouse / Habsheim;LFGB;Mulhouse–Habsheim Airport;Public
Muret / Lherm;LFBR;Muret – Lherm Aerodrome;Public
Nancy / Azelot;LFEX;Nancy - Azelot Aerodrome;Restricted
Nancy / Essey;LFSN;Nancy-Essey Airport;Public
Nancy / Malzéville;LFEZ;Nancy - Malzéville Aerodrome;Restricted
Nancy / Ochey;LFSO;Nancy – Ochey Air Base (BA 133);Military
Nangis / Les Loges;LFAI;Nangis les Loges Aerodrome (UAF);Public
Nantes / Bouguenais;LFRS;Nantes Atlantique Airport;Public
Neufchâteau;LFFT;Neufchâteau Airport;Public
Nevers / Fourchambault;LFQG;Nevers - Fourchambault Airport (WEB UAF);Public
Nice / Côte d'Azur;LFMN;Nice Côte d'Azur Airport;Public
Nîmes / Courbessac;LFME;Nîmes - Courbessac Airport;Public
Nîmes / Garons;LFTW;Nîmes–Alès–Camargue–Cévennes Airport;Public
Niort / Souché;LFBN;Niort - Souché Airport (WEB UAF);Public
Nogaro;LFCN;Nogaro Airport;Public
Nuits-Saint-Georges;LFGZ;Nuits-Saint-Georges Aerodrome;Restricted
Oloron-Sainte-Marie / Herrère;LFCO;Oloron - Herrère Airport;Public
Orange / Caritat;LFMO;Orange-Caritat Air Base (BA 115);Military
Orléans / Bricy;LFOJ;Orléans – Bricy Air Base (BA 123);Military
Orléans / Saint-Denis-de-l'Hôtel;LFOZ;Orléans – Saint-Denis-de-l'Hôtel Airport;Public
Oyonnax / Arbent;LFLK;Oyonnax - Arbent Aerodrome;Public
Pamiers / Les Pujols;LFDJ;Pamiers - Les Pujols Airport;Public
Paray-le-Monial;LFGN;Paray-le-Monial Airport;Public
Paris / Épiais-lès-Louvres / Le Mesnil-Amelot / Mauregard / Mitry-Mory / Roissy-en-France / Tremblay-en-France;LFPG;Charles de Gaulle Airport;Public
Paris / Le Bourget;LFPB;Paris–Le Bourget Airport;Public
Paris / Orly;LFPO;Orly Airport;Public
Pau / Uzein;LFBP;Pau Pyrénées Airport;Public
Périgueux / Bassillac;LFBX;Périgueux Bassillac Airport;Public
Péronne / Saint-Quentin;LFAG;Peronne-St Quentin Airport;Public
Pérouges / Meximieux;LFHC;Pérouges - Meximieux Aerodrome;Public
Perpignan / Rivesaltes;LFMP;Perpignan–Rivesaltes Airport;Public
Persan / Beaumont-sur-Oise;LFPA;Persan-Beaumont Airport;Public
Pézenas / Nizas;LFNP;Pézenas - Nizas Aerodrome;Restricted
Phalsbourg / Bourscheid;LFQP;Quartier La Horie;Military
Pierrelatte;LFHD;Pierrelate Airport;Public
Pithiviers;LFFP;Pithiviers Aerodrome;Restricted
Ploërmel / Loyat;LFRP;Ploërmel - Loyat Airport;Public
Poitiers / Biard;LFBI;Poitiers–Biard Airport;Public
Pons / Avy;LFCP;Pons - Avy Airport;Public
Pontarlier;LFSP;Pontarlier Airport;Public
Pontivy;LFED;Pontivy Airport;Public
Pontoise / Cormeilles-en-Vexin;LFPT;Pontoise – Cormeilles Aerodrome;Public
Pont-Saint-Esprit;LFND;Pont-Saint-Esprit Airport;Public
Pont-Saint-Vincent;LFSV;Pont-Saint-Vincent Aerodrome;Restricted
Pont-sur-Yonne;LFGO;Pont-sur-Yonne Airport;Public
Pouilly-en-Auxois / Maconge;LFEP;Pouilly - Maconge Aerodrome;Restricted
Propriano;LFKO;Propriano Airport;Public
Puimoisson;LFTP;Puimoisson Aerodrome;Restricted
Puivert;LFNW;Puivert Aerodrome;Restricted
Quiberon;LFEQ;Quiberon Aerodrome (UAF);Public
Quimper / Pluguffan;LFRQ;Quimper–Cornouaille Airport;Public
Redon / Bains-sur-Oust;LFER;Redon - Bains-sur-Oust Aerodrome (UAF);Public
Reims / Champagne-Ardenne;LFSR;Reims - Champagne Aerodrome (BA 112);Public
Reims / Prunay;LFQA;Reims – Prunay Aerodrome;Public
Rennes / Saint-Jacques-de-la-Lande;LFRN;Rennes–Saint-Jacques Airport;Public
Rethel / Perthes;LFAP;Rethel - Perthes Aerodrome;Restricted
Revel / Montgey;LFIR;Revel - Montgey Aerodrome;Restricted
Ribérac / Saint-Aulaye;LFIK;Ribérac - Saint-Aulaye Aerodrome;Restricted
Rion-des-Landes;LFIL;Rion-des-Landes Aerodrome;Public
Roanne / Renaison;LFLO;Roanne Renaison Airport (UAF);Public
Rochefort / Saint-Agnant;LFDN;Rochefort – Saint-Agnant Airport (BA 721) (UAF);Public/mil.
Rochefort / Soubise;LFXR;Rochefort - Soubise Airport;
Rodez / Marcillac-Vallon;LFCR;Rodez–Aveyron Airport;Public
Romans-sur-Isère / Saint-Paul-lès-Romans;LFHE;Romans - Saint-Paul Airport;Public
Romilly-sur-Seine;LFQR;Romilly-sur-Seine Airport;Public
Romorantin-Lanthenay / Pruniers;LFYR;Romorantin - Pruniers Airport (DA 273);Public/mil.
Rouen;LFOP;Rouen Airport;Public
Royan / Médis;LFCY;Royan – Médis Aerodrome;Public
Ruoms;LFHF;Ruoms Aerodrome;Restricted
Saint-Affrique / Belmont-sur-Rance;LFIF;Saint-Affrique - Belmont Aerodrome;Restricted
Saint-André-de-l'Eure;LFFD;Saint-André-de-l'Eure Airport;Restricted
Saint-Brieuc / Côtes-d'Armor;LFRT;Saint-Brieuc – Armor Airport;Public
Saint-Chamond / L'Horme;LFHG;Saint-Chamond - L'Horme Airport;Public
Saint-Christol;LFXI;Saint-Christol Airport;
Saint-Claude / Pratz;LFKZ;Saint-Claude - Pratz Aerodrome;Restricted
Saint-Cyr-l'École;LFPZ;Saint-Cyr-l'École Aerodrome (UAF);Public
Saint-Dié-des-Vosges / Remomeix;LFGY;Saint-Dié - Remomeix Airport;Public
Saint-Dizier;LFSI;Saint-Dizier – Robinson Air Base (BA 113);Military
Sainte-Foy-la-Grande;LFDF;Sainte-Foy-la-Grande Airport;Public
Sainte-Léocadie;LFYS;Sainte-Léocadie Aerodrome;Restricted
Saintes / Thénac;LFXB;Saintes - Thénac Airport (EETAA 722);Public/mil.
Saint-Étienne / Andrézieux-Bouthéon;LFMH;Saint-Étienne–Bouthéon Airport;Public
